City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.33,50.0,85,5,6.69,AU,1595708444
Atuona,-9.8,-139.03,79.77,73,1,19.98,PF,1595708444
Kiunga,-6.12,141.29,72.61,98,91,1.57,PG,1595708444
Bluff,-46.6,168.33,50.38,82,100,18.9,NZ,1595708444
Hilo,19.73,-155.09,84.2,66,90,5.82,US,1595708445
Ushuaia,-54.8,-68.3,30.2,92,40,20.8,AR,1595708445
Kapaa,22.08,-159.32,78.01,94,90,13.87,US,1595708195
Sungai Raya,0.7,108.9,77.49,88,100,7.02,ID,1595708445
Albany,42.6,-73.97,90.0,36,100,5.14,US,1595708445
Yellowknife,62.46,-114.35,68.0,52,40,12.75,CA,1595708446
Effingham County,32.37,-81.33,87.8,83,75,8.37,US,1595708446
Chui,-33.7,-53.46,50.0,69,0,8.48,UY,1595708446
Dinard,48.63,-2.06,64.4,100,67,10.29,FR,1595708446
Hong Kong,22.29,114.16,86.0,74,100,10.0,HK,1595708400
Nicolás Bravo,18.45,-88.92,89.6,66,40,17.22,MX,1595708446
Eyl,7.98,49.82,78.46,70,39,23.26,SO,1595708447
Bengkulu,-3.8,102.27,74.95,89,29,5.35,ID,1595708297
Concepción del Oro,24.63,-101.42,75.42,40,83,9.44,MX,1595708447
Cape Town,-33.93,18.42,61.0,87,75,6.93,ZA,1595708219
Byron Bay,-28.65,153.62,60.8,93,90,5.82,AU,1595708447
Jamestown,42.1,-79.24,81.0,61,90,3.36,US,1595708447
Pérez,-33.0,-60.77,64.0,23,51,10.29,AR,1595708448
Winneba,5.35,-0.62,77.0,88,20,16.11,GH,1595708448
Paracuru,-3.41,-39.03,80.01,72,100,13.0,BR,1595708448
Weligama,5.97,80.42,78.82,84,100,12.95,LK,1595708448
Abhā,18.22,42.51,80.6,88,66,10.96,SA,1595708448
Punta Arenas,-53.15,-70.92,32.0,86,39,9.17,CL,1595708449
Upernavik,72.79,-56.15,44.62,91,100,18.79,GL,1595708449
Hobart,-42.88,147.33,39.99,86,2,5.82,AU,1595708406
Rikitea,-23.12,-134.97,69.85,80,19,22.93,PF,1595708449
Puerto Ayora,-0.74,-90.35,77.0,65,75,20.8,EC,1595708449
Nara,34.69,135.8,75.2,100,75,1.12,JP,1595708348
